a_m=0.0493,b_m=0.0254,c_m=0.0423,d_m=0.0058
time_s,source_pressure_pa,receiver_pressure_pa,piezo_voltage_v,piezo_voltage_envelope_v
1.1781818181818183e-06,-1.4116819190072067,-2.4342935420876737,-2.5638491606504573e-05,2.6110425893807155e-05
1.1863636363636365e-06,-1.4029148682138857,-2.58304270092269,-2.678895272914648e-05,2.7985277800928525e-05
1.1945454545454548e-06,-1.3652793894257138,-2.708556118136655,-2.7663217897096768e-05,2.9990166549435172e-05
1.2027272727272728e-06,-1.2943302388176463,-2.8041188424006354,-2.8205777952292333e-05,3.213372603630065e-05
1.210909090909091e-06,-1.1854917527391013,-2.862407057067702,-2.8358746246569925e-05,3.442510482184416e-05
1.2190909090909094e-06,-1.034125522950087,-2.8755269686530758,-2.8062518618043235e-05,3.6873993443751976e-05
1.2272727272727274e-06,-0.8356108495879373,-2.8350718824395615,-2.7256556128007097e-05,3.949065326101829e-05
1.2354545454545457e-06,-0.5854385012877014,-2.732199409794644,-2.5880293733868388e-05,4.228594690166138e-05
1.243636363636364e-06,-0.27931812996823885,-2.557730666661149,-2.387417625404264e-05,4.527137040342123e-05
1.251818181818182e-06,0.0867005307983802,-2.3022731849831732,-2.1180820895840338e-05,4.84590871218227e-05
1.2600000000000002e-06,0.5160928115520418,-1.9563690630928492,-1.7746303263109916e-05,5.186196349488413e-05
1.2681818181818185e-06,1.0117110200186148,-1.5106696220907345,-1.3521561146289652e-05,5.5493606740893474e-05
1.2763636363636365e-06,1.575623879034947,-0.9561375080509387,-8.463907541802615e-06,5.936840457609985e-05
1.2845454545454548e-06,2.2089446194387707,-0.28427678003238044,-2.538641261049251e-06,6.350156703432878e-05
1.2927272727272728e-06,2.911649267203119,0.5126089521524791,4.279259792330065e-06,6.79091704719793e-05
1.300909090909091e-06,3.682387107232486,1.4411308309484174,1.2003381046849683e-05,7.260820384187493e-05
1.3090909090909093e-06,4.518285779611462,2.5065026191898565,2.0634071332635578e-05,7.761661732495125e-05
1.3172727272727274e-06,5.414753962775702,3.7122039702287397,3.0156626185495573e-05,8.295337339860776e-05
1.3254545454545456e-06,6.365285115834799,5.059621726077601,4.05394836450876e-05,8.86385004353526e-05
1.333636363636364e-06,7.36126628155557,6.547672731459734,5.1732465424373756e-05,9.469314891238281e-05
1.341818181818182e-06,8.391796483353621,8.172412580201541,6.366509983861251e-05,0.00010113965032564339
1.3500000000000002e-06,9.443519773660471,9.926635697042096,7.62450661884681e-05,0.00010800157889076689
1.3581818181818185e-06,10.500478495450038,11.799473191419882,8.935680332930983e-05,0.00011530381612880263
1.3663636363636365e-06,11.54399279034845,13.775995986215234,0.00010286032781944473,0.0001230726184187981
1.3745454545454548e-06,12.552572811135763,15.836831807248153,0.00011659030924400012,0.00013133568761637237
1.382727272727273e-06,13.501870457888733,17.957805699322037,0.0001303554519484126,0.00014012224482582016
1.390909090909091e-06,14.364677738758145,20.10961478964417,0.00014393823339729973,0.00014946310742275425
1.3990909090909093e-06,15.110979040804539,22.257549024405737,0.00015709504959228208,0.0001593907694233506
1.4072727272727276e-06,15.70806466516422,24.361270531099375,0.00016955681733965948,0.00016993948529278353
1.4154545454545456e-06,16.12071291548436,26.37466507710681,0.00018103008156536706,0.00018114535729700772
1.4236363636363639e-06,16.31144781039366,28.245779771310897,0.000191198673231184,0.00019304642648871885
1.431818181818182e-06,16.24087910150142,29.91686165522653,0.00019972595964374437,0.00020568276744062497
1.4400000000000002e-06,15.868130700524599,31.324512117084335,0.0002062577239785576,0.00021909658681396686
1.4481818181818184e-06,15.151362836387147,32.39997209890494,0.00021042570462651334,0.00023333232588020208
1.4563636363636365e-06,14.048392261026446,33.06955281470109,0.00021185181744903074,0.00024843676709039965
1.4645454545454547e-06,12.51741358899272,33.255226119576605,0.00021015307518859047,0.0002644591448085016
1.472727272727273e-06,10.517823381451707,32.875387727866446,0.00020494720811237326,0.0002814512603091746
1.480909090909091e-06,8.011146864073412,31.845805138917143,0.00019585897849453077,0.0002994676011612671
1.4890909090909093e-06,4.962065198799771,30.080760359977205,0.00018252716880175885,0.00031856546509658487
1.4972727272727276e-06,1.3395390146047883,27.49439528920347,0.00016461220952988445,0.0003388050884912158
1.5054545454545456e-06,-2.8819785496271573,24.00226491523943,0.00014180439762229068,0.0003602497795646298
1.5136363636363639e-06,-7.721248711913414,19.523100286729605,0.00011383264044830336,0.0003829660564207773
1.5218181818181821e-06,-13.188886122812715,13.980779496727486,8.047364357446827e-05,0.0004070237900453867
1.5300000000000002e-06,-19.28594550133253,7.306500713452326,4.1561443240275636e-05,0.00043249635238322827
1.5381818181818184e-06,-26.002474375077707,-0.5588534193890364,-3.0028332205033473e-06,0.00045946076961262035
1.5463636363636367e-06,-33.31605375915046,-9.66217587093193,-5.324111352036584e-05,0.00048799788074288346
1.5545454545454547e-06,-41.190351946755015,-20.035441279184536,-0.00010908858515582082,0.0005181925016557662
1.562727272727273e-06,-49.57371991298658,-31.692885466879048,-0.0001703841277520686,0.0005501335947144318
1.570909090909091e-06,-58.39786008627537,-44.62809225298083,-0.0002368611580901906,0.0005839144440645082
1.5790909090909093e-06,-67.57660334638952,-58.811027993224876,-0.00030813908766033344,0.0006196328367494953
