time_s,transmit_positive,transmit_negative,measured_positive,measured_negative,pulse_inversion_half_sum,recovered_harmonic,validation_true_nonlinear
1.4525e-05,2.0211075315019548e-50,-2.0211075315019548e-50,-0.023207971919681002,0.019843479239833123,-0.0016822463399239398,-0.0016822463399239398,-0.0004697862558961818
1.455e-05,1.809157079228352e-50,-1.809157079228352e-50,0.011753535818604336,-0.014038348908997899,-0.0011424065451967813,-0.0011424065451967813,-0.0004697862905837199
1.4575e-05,1.168907198775012e-50,-1.168907198775012e-50,0.000495384631849101,0.005093426391345135,0.0027944055115971178,0.0027944055115971178,-0.0004697863256469606
1.46e-05,6.434395857321982e-51,-6.434395857321982e-51,-0.032453048041080026,0.0013533270821039353,-0.015549860479488045,-0.015549860479488045,-0.0004697863610858918
1.4625e-05,3.160055980203975e-51,-3.160055980203975e-51,-0.013026250183704442,0.016988625417320786,0.001981187616808172,0.001981187616808172,-0.0004697863969005421
1.465e-05,1.4002600267597196e-51,-1.4002600267597196e-51,-0.0025060588046917505,-0.017315779967505315,-0.009910919386098532,-0.009910919386098532,-0.00046978643309103973
1.4675e-05,5.535818764704724e-52,-5.535818764704724e-52,-0.027635080963214053,-0.02818427915573993,-0.027909680059476992,-0.027909680059476992,-0.0004697864696576314
1.47e-05,1.8645714118524907e-52,-1.8645714118524907e-52,-0.0016245449108640013,-0.019662363209736158,-0.01064345406030008,-0.01064345406030008,-0.00046978650660063864
1.4725e-05,4.533076840015186e-53,-4.533076840015186e-53,7.755716192429235e-05,-0.004919904023340625,-0.002421173430708166,-0.002421173430708166,-0.0004697865439204153
1.475e-05,1.4588934804592722e-66,-1.4588934804592722e-66,-0.007092397618033871,0.019329342369979595,0.006118472375972862,0.006118472375972862,-0.0004697865816172722
1.4775e-05,-9.621363744941723e-54,9.621363744941723e-54,0.025795078216882674,0.001663024811022787,0.01372905151395273,0.01372905151395273,-0.0004697866196914317
1.48e-05,-8.399745490978748e-54,8.399745490978748e-54,-0.0012812659404514307,0.006614756344169763,0.0026667452018591664,0.0026667452018591664,-0.00046978665814303224
1.4825e-05,-5.293129538773859e-54,5.293129538773859e-54,0.018196253582706746,0.0014930224253799998,0.009844638004043373,0.009844638004043373,-0.0004697866969721396
1.485e-05,-2.841730597086357e-54,2.841730597086357e-54,0.00923300597449165,-0.017540286458746772,-0.004153640242127561,-0.004153640242127561,-0.0004697867361788172
1.4875e-05,-1.3611705412743773e-54,1.3611705412743773e-54,-0.02111945189122391,-0.022850656873285972,-0.02198505438225494,-0.02198505438225494,-0.0004697867757631651
1.49e-05,-5.882596962820424e-55,5.882596962820424e-55,-0.02207263045306471,-0.026275098227752633,-0.02417386434040867,-0.02417386434040867,-0.00046978681572535573
1.4925e-05,-2.268218585192255e-55,2.268218585192255e-55,-0.007120291069193704,-0.008889415802208884,-0.008004853435701294,-0.008004853435701294,-0.00046978685606564
1.495e-05,-7.451173916668285e-56,7.451173916668285e-56,-0.021155656576459785,-0.005805073902460402,-0.013480365239460093,-0.013480365239460093,-0.00046978689678430787
1.4975e-05,-1.7667756206368876e-56,1.7667756206368876e-56,0.007014617505611649,-0.021076125551001194,-0.0070307540226947724,-0.0070307540226947724,-0.00046978693788165556
1.5e-05,2.647314017188201e-70,-2.647314017188201e-70,0.01640744364368527,-0.0067402544385728545,0.004833594602556207,0.004833594602556207,-0.00046978697935795154
1.5025e-05,3.567058458844422e-57,-3.567058458844422e-57,-0.010808532515137049,-0.0066556640941268464,-0.008732098304631947,-0.008732098304631947,-0.0004697870212134173
1.505e-05,3.0372627106951744e-57,-3.0372627106951744e-57,0.0064296839156461,0.0011319238944574555,0.0037808039050517776,0.0037808039050517776,-0.0004697870634482214
1.5075e-05,1.8666865208018632e-57,-1.8666865208018632e-57,0.0075014349404116,-0.006441972655569805,0.0005297311424208974,0.0005297311424208974,-0.0004697871060625181
1.51e-05,9.774271768724353e-58,-9.774271768724353e-58,-0.002898364887100419,0.01500476315762165,0.006053199135260616,0.006053199135260616,-0.00046978714905645717
1.5125e-05,4.566218467993871e-58,-4.566218467993871e-58,0.009769981278824324,0.013729098522962295,0.01174953990089331,0.01174953990089331,-0.00046978719243021455
1.515e-05,1.924668227880567e-58,-1.924668227880567e-58,-0.008824250603886141,-0.006632511617708033,-0.007728381110797087,-0.007728381110797087,-0.00046978723618401185
1.5175e-05,7.237929111424724e-59,-7.237929111424724e-59,-0.00261634943148574,0.008128029850536086,0.002755840209525173,0.002755840209525173,-0.00046978728031808845
1.52e-05,2.318978696358805e-59,-2.318978696358805e-59,-0.019194680713705038,0.002361182000461826,-0.008416749356621607,-0.008416749356621607,-0.00046978732483270803
1.5225e-05,5.362855490669269e-60,-5.362855490669269e-60,-0.0051848026120772705,-0.004119772159986678,-0.004652287386031974,-0.004652287386031974,-0.0004697873697281311
1.525e-05,3.7207934703496515e-75,-3.7207934703496515e-75,-0.012266272783868718,-0.002267522205145879,-0.007266897494507298,-0.007266897494507298,-0.0004697874150045985
1.5275e-05,-1.0299359069292279e-60,1.0299359069292279e-60,0.035082880592406246,-0.022910980102579196,0.006085950244913525,0.006085950244913525,-0.00046978746066233
1.53e-05,-8.553127945770744e-61,8.553127945770744e-61,-0.030083897829216163,-0.007153088639481856,-0.01861849323434901,-0.01861849323434901,-0.00046978750670153516
1.5325e-05,-5.126921169570967e-61,5.126921169570967e-61,0.011474874855466118,0.001170057848460186,0.006322466351963152,0.006322466351963152,-0.00046978755312241364
1.535e-05,-2.6182571400928312e-61,2.6182571400928312e-61,-0.005293204117287872,0.032905844098137606,0.013806319990424866,0.013806319990424866,-0.0004697875999251787
1.5375e-05,-1.192963649272377e-61,1.192963649272377e-61,-0.00623266353690148,-0.03422021225469893,-0.020226437895800205,-0.020226437895800205,-0.0004697876471100598
1.54e-05,-4.904209783263897e-62,4.904209783263897e-62,-0.0021832134002547155,0.011292771164260789,0.004554778882003037,0.004554778882003037,-0.00046978769467730417
1.5425e-05,-1.798747177603596e-62,1.798747177603596e-62,-0.008253092172423518,0.015291014694525611,0.0035189612610510464,0.0035189612610510464,-0.0004697877426271724
1.545e-05,-5.620762009783599e-63,5.620762009783599e-63,-0.012562435769708207,-0.0010852213077631799,-0.006823828538735694,-0.006823828538735694,-0.00046978779095992505
1.5475e-05,-1.267760366830184e-63,1.267760366830184e-63,0.008569828853467095,-0.007559799097082191,0.0005050148781924522,0.0005050148781924522,-0.00046978783967581563
1.55e-05,-1.978524679366481e-77,1.978524679366481e-77,-0.020441117700775183,0.029821510815386133,0.004690196557305475,0.004690196557305475,-0.00046978788877508336
1.5525e-05,2.3159893146690915e-64,-2.3159893146690915e-64,0.008359801125403642,-0.009567741720196341,-0.0006039702973963494,-0.0006039702973963494,-0.0004697879382579578
1.555e-05,1.8758320793524046e-64,-1.8758320793524046e-64,-0.02325137691055806,-0.00997212559324809,-0.016611751251903076,-0.016611751251903076,-0.0004697879881246669
1.5575e-05,1.0966505677284898e-64,-1.0966505677284898e-64,-0.019974694277362235,-0.002446678535403622,-0.011210686406382928,-0.011210686406382928,-0.0004697880383754434
1.56e-05,5.462186976417066e-65,-5.462186976417066e-65,-0.0016458884848571495,-0.014139063381908656,-0.007892475933382903,-0.007892475933382903,-0.0004697880890105388
1.5625e-05,2.427303680064367e-65,-2.427303680064367e-65,-0.01762418683013741,0.028629977509101748,0.005502895339482169,0.005502895339482169,-0.00046978814003021904
1.565e-05,9.732145229423932e-66,-9.732145229423932e-66,-0.010903041316088881,0.013610908218940503,0.0013539334514258107,0.0013539334514258107,-0.0004697881914347633
1.5675e-05,3.481387015690967e-66,-3.481387015690967e-66,-0.028382763090010126,-0.011790396752321552,-0.02008657992116584,-0.02008657992116584,-0.00046978824322444965
1.57e-05,1.0610113134969678e-66,-1.0610113134969678e-66,0.022977634579615044,0.023885909881300398,0.02343177223045772,0.02343177223045772,-0.0004697882953995452
1.5725e-05,2.3340202851557472e-67,-2.3340202851557472e-67,-0.0021876634289542582,0.006060014929961873,0.0019361757505038074,0.0019361757505038074,-0.0004697883479603111
1.575e-05,6.951247425025402e-81,-6.951247425025402e-81,0.010734686651779044,-0.026458753394926215,-0.007862033371573585,-0.007862033371573585,-0.0004697884009069892
1.5775e-05,-4.0559190904480925e-68,4.0559190904480925e-68,-0.013537363196359927,0.00094412706631409,-0.006296618065022918,-0.006296618065022918,-0.00046978845423982095
1.58e-05,-3.2039765449082578e-68,3.2039765449082578e-68,-0.0017352885037318015,0.009330070634848373,0.0037973910655582856,0.0037973910655582856,-0.0004697885079590635
1.5825e-05,-1.82686424195112e-68,1.82686424195112e-68,-0.001628083200739878,-0.012825260828804547,-0.007226672014772213,-0.007226672014772213,-0.00046978856206498137
1.585e-05,-8.874567720869774e-69,8.874567720869774e-69,0.0017985984402699568,0.020553050969522164,0.01117582470489606,0.01117582470489606,-0.00046978861655785854
1.5875e-05,-3.8463375760133914e-69,3.8463375760133914e-69,-0.012319798832712725,0.0031590306278263093,-0.004580384102443208,-0.004580384102443208,-0.0004697886714379953
1.59e-05,-1.5040923501495427e-69,1.5040923501495427e-69,0.006850155897029439,0.018653251647790543,0.01275170377240999,0.01275170377240999,-0.0004697887267056869
1.5925e-05,-5.247601704725618e-70,5.247601704725618e-70,0.008343667953255633,-0.00461643830941432,0.0018636148219206565,0.0018636148219206565,-0.0004697887823612242
