a_m=0.009246010048290298,b_m=0.002648018873008202,c_m=0.008575913291890601
time_s,source_pressure_pa,receiver_pressure_pa,receiver_envelope_pa
1.6772727272727275e-06,-0.00014690653116028368,-0.0001427257993005547,0.00014667026334500173
1.6854545454545458e-06,-0.0001439254396328704,-0.00014753170205369318,0.000156518944077625
1.6936363636363638e-06,-0.0001381423768260722,-0.0001505894920489334,0.0001670686529976331
1.701818181818182e-06,-0.00012925667337405943,-0.00015159613848185583,0.00017846249576032204
1.7100000000000004e-06,-0.00011697827254640098,-0.00015024078670173641,0.00019063891128093634
1.7181818181818184e-06,-0.00010103414150495413,-0.00014620904127072526,0.00020378850156900383
1.7263636363636367e-06,-8.117524435138032e-05,-0.0001391878932108536,0.00021781305490400059
1.7345454545454547e-06,-5.7184027706644786e-05,-0.00012887128985310855,0.00023294382000168862
1.742727272727273e-06,-2.88823539973563e-05,-0.000114966333877266,0.0002490542420237234
1.7509090909090912e-06,3.860198740158283e-06,-9.720008502445844e-05,0.0002664080184733266
1.7590909090909093e-06,4.111776868474318e-05,-7.532692365998125e-05,0.0002848599657249855
1.7672727272727275e-06,8.289948914189098e-05,-4.913641997502991e-05,0.00030469717580918247
1.7754545454545458e-06,0.00012914074738696671,-1.84616362893435e-05,0.00032576642194090963
1.7836363636363638e-06,0.00017969457343796735,1.681222716406928e-05,0.0003483687718315234
1.791818181818182e-06,0.0002343233253275083,5.673895020177092e-05,0.00037235389439910894
1.8000000000000003e-06,0.000292690853058707,0.0001013022995071752,0.00039802751567083526
1.8081818181818184e-06,0.00035435533768377,0.00015040706725290092,0.0004252530180104956
1.8163636363636366e-06,0.00041876301440996487,0.00020387030195637287,0.0004543319939863478
1.824545454545455e-06,0.00048524299887100814,0.0002614129087438722,0.00048515181829557254
1.832727272727273e-06,0.0005530034432462898,0.000322651811819102,0.0005180020565644205
1.8409090909090912e-06,0.0006211292533059566,0.00038709288600171515,0.0005528034594189541
1.8490909090909095e-06,0.0006885815982510264,0.0004541248762695832,0.0005898268864733708
1.8572727272727275e-06,0.0007541994419620239,0.0005230145338407017,0.0006290346581721634
1.8654545454545458e-06,0.0008167033165484278,0.0005929032039950413,0.0006706737198923807
1.8736363636363638e-06,0.0008747015465196003,0.0006628051040931666,0.0007147547332470005
1.881818181818182e-06,0.0009266991141361881,0.0007316075296343847,0.0007614971864661777
1.8900000000000003e-06,0.0009711093332663831,0.0007980732212646523,0.0008109652597964128
1.8981818181818184e-06,0.0010062684701496044,0.0008608451159709248,0.0008633492373138339
1.9063636363636366e-06,0.0010304534147269947,0.0009184536909005576,0.0009187702922425204
